data;pm10;dzien_tyg;kwartal;rok;poziom;tmax_daily;tmin_daily;t2m_mean_daily;tmin_soil;rr_daily;rr_type;snowcover_height;rh_mean_daily;ws_mean_daily;cloud_mean_daily
2015-01-01;72,00;Pt;Kwartał 1;2015;dopuszczalny;0,2;-4,6;-2,3;-4,4;0,3;W;3;0;3,3;8,0
2015-01-02;24,00;Sb;Kwartał 1;2015;w normie;6,9;-2,9;2,3;-4,4;1,5;W;3;0;5,7;5,3
2015-01-03;19,00;Nd;Kwartał 1;2015;w normie;3,4;0,0;1,3;-0,5;2,0;S;0;0;5,0;7,3
2015-01-04;9,00;Pn;Kwartał 1;2015;w normie;2,5;-0,5;1,1;-1,5;0,6;S;0;0;4,0;8,0
2015-01-05;24,00;Wt;Kwartał 1;2015;w normie;1,4;-3,0;-1,1;-10,9;2,4;S;0;0;2,7;8,0
2015-01-06;85,00;Śr;Kwartał 1;2015;dopuszczalny;-1,9;-8,7;-5,4;-13,9;0,0;;5;0;1,0;4,3
2015-01-07;122,00;Czw;Kwartał 1;2015;dopuszczalny;-3,9;-13,0;-7,9;-18,9;0,0;W;3;0;2,0;7,7
2015-01-08;40,00;Pt;Kwartał 1;2015;w normie;1,2;-5,0;-1,5;-4,9;3,4;W;3;0;3,0;7,7
2015-01-09;NA;Sb;Kwartał 1;2015;NA;6,0;-0,8;3,3;-0,1;8,6;W;2;0;5,3;8,0
2015-01-10;17,00;Nd;Kwartał 1;2015;w normie;12,4;1,0;7,5;0,2;5,8;W;0;0;4,3;8,0
2015-01-11;20,00;Pn;Kwartał 1;2015;w normie;12,4;0,6;3,9;-3,0;1,0;S;0;0;3,3;8,0
2015-01-12;16,00;Wt;Kwartał 1;2015;w normie;5,1;0,0;2,9;-1,0;0,9;S;0;0;4,0;7,3
2015-01-13;69,00;Śr;Kwartał 1;2015;dopuszczalny;11,0;2,4;6,3;-1,5;0,0;;0;0;3,0;2,3
2015-01-14;47,00;Czw;Kwartał 1;2015;w normie;8,8;1,7;4,4;-4,4;0,4;W;0;0;3,0;5,3
2015-01-15;21,00;Pt;Kwartał 1;2015;w normie;5,5;0,5;2,9;-3,0;0,0;;0;0;2,0;5,7
2015-01-16;39,00;Sb;Kwartał 1;2015;w normie;11,6;1,5;6,8;-3,5;0,0;;0;0;2,7;2,3
2015-01-17;37,00;Nd;Kwartał 1;2015;w normie;11,6;3,0;7,0;-1,5;8,0;S;0;0;2,7;6,0
2015-01-18;67,00;Pn;Kwartał 1;2015;dopuszczalny;4,4;0,4;1,8;0,0;0,0;;2;0;1,0;7,7
2015-01-19;59,00;Wt;Kwartał 1;2015;dopuszczalny;2,8;1,5;1,9;0,2;0,0;;0;0;1,3;8,0
2015-01-20;78,00;Śr;Kwartał 1;2015;dopuszczalny;2,5;-0,7;0,9;-3,4;0,0;;0;0;1,7;8,0
2015-01-21;166,00;Czw;Kwartał 1;2015;dopuszczalny;4,2;0,0;2,1;-0,5;0,0;;0;0;0,7;8,0
2015-01-22;61,00;Pt;Kwartał 1;2015;dopuszczalny;3,7;1,0;2,3;0,5;0,3;W;0;0;1,3;8,0
2015-01-23;NA;Sb;Kwartał 1;2015;NA;2,4;0,8;1,6;0,5;0,6;S;0;0;1,0;8,0
2015-01-24;70,00;Nd;Kwartał 1;2015;dopuszczalny;0,8;-2,0;-0,7;-2,5;9,0;S;1;0;1,0;8,0
2015-01-25;56,00;Pn;Kwartał 1;2015;dopuszczalny;-0,6;-4,0;-2,4;-4,4;6,6;S;5;0;1,7;8,0
2015-01-26;52,00;Wt;Kwartał 1;2015;dopuszczalny;-0,1;-2,6;-1,3;-3,5;0,0;;10;0;1,3;8,0
2015-01-27;47,00;Śr;Kwartał 1;2015;w normie;0,0;-7,5;-2,6;-13,4;2,2;S;8;0;2,3;8,0
2015-01-28;36,00;Czw;Kwartał 1;2015;w normie;2,1;-0,5;0,6;-4,4;0,0;;8;0;2,3;8,0
2015-01-29;15,00;Pt;Kwartał 1;2015;w normie;2,0;-1,5;0,3;-7,9;0,3;S;7;0;3,3;8,0
2015-01-30;39,00;Sb;Kwartał 1;2015;w normie;4,9;-2,1;1,2;-9,1;11,6;S;7;0;1,0;7,0
2015-01-31;31,00;Nd;Kwartał 1;2015;w normie;1,0;-3,5;-1,5;-5,4;0,0;;10;0;3,0;5,3
2015-02-01;109,00;Pn;Kwartał 1;2015;dopuszczalny;2,0;-6,5;-2,7;-14,4;0,0;;9;0;1,0;3,0
2015-02-02;163,00;Wt;Kwartał 1;2015;dopuszczalny;1,4;-8,0;-3,5;-14,9;1,0;S;9;0;1,0;5,7
2015-02-03;54,00;Śr;Kwartał 1;2015;dopuszczalny;1,5;-5,5;-2,5;-13,5;0,3;S;10;0;2,7;4,3
2015-02-04;147,00;Czw;Kwartał 1;2015;dopuszczalny;1,2;-6,0;-2,6;-10,4;0,1;S;10;0;0,7;8,0
2015-02-05;86,00;Pt;Kwartał 1;2015;dopuszczalny;-0,1;-5,5;-3,0;-10,9;0,0;;10;0;1,7;7,0
2015-02-06;34,00;Sb;Kwartał 1;2015;w normie;-2,0;-6,5;-3,8;-5,4;0,0;W;9;0;2,7;8,0
2015-02-07;63,00;Nd;Kwartał 1;2015;dopuszczalny;-1,4;-7,2;-4,1;-11,9;4,1;S;9;0;2,3;5,7
2015-02-08;23,00;Pn;Kwartał 1;2015;w normie;-0,5;-4,2;-2,4;-6,9;2,5;S;15;0;2,7;8,0
2015-02-09;36,00;Wt;Kwartał 1;2015;w normie;0,1;-8,0;-3,0;-11,4;6,6;S;17;0;2,7;8,0
2015-02-10;66,00;Śr;Kwartał 1;2015;dopuszczalny;2,3;-0,5;1,0;-1,5;2,5;W;18;0;1,7;8,0
2015-02-11;95,00;Czw;Kwartał 1;2015;dopuszczalny;1,7;0,0;1,0;-0,5;0,5;W;10;0;1,0;8,0
2015-02-12;136,00;Pt;Kwartał 1;2015;dopuszczalny;4,4;-1,0;0,9;-6,4;0,0;;9;0;1,3;2,7
2015-02-13;156,00;Sb;Kwartał 1;2015;dopuszczalny;6,8;-7,5;-0,8;-10,4;0,0;;8;0;1,3;0,0
2015-02-14;278,00;Nd;Kwartał 1;2015;informowania;7,5;-7,0;-0,4;-10,9;0,0;;7;0;1,0;0,0
2015-02-15;272,00;Pn;Kwartał 1;2015;informowania;8,8;-6,5;-0,4;-10,4;0,0;;6;0;1,0;0,0
2015-02-16;45,00;Wt;Kwartał 1;2015;w normie;1,6;-3,0;-1,5;-5,9;0,0;;6;0;3,0;6,3
2015-02-17;134,00;Śr;Kwartał 1;2015;dopuszczalny;2,1;-7,3;-3,0;-9,4;0,0;;6;0;1,3;0,0
2015-02-18;101,00;Czw;Kwartał 1;2015;dopuszczalny;1,5;-3,7;-0,9;-9,5;0,0;;6;0;2,0;8,0
